Designator,Footprint,Quantity,Value,LCSC Part #
C50,CP_Elec_5x5.4,1,100µF 10v,C2891567
C49,CP_Elec_5x5.4,1,100µF 10v,C2891567
JP5,PinHeader_1x02_P2.54mm_Vertical,1,SolderJumper_2_Open,
D12,D_SMA,1,SS32L-SS320L,C8678
R65,R_1206_3216Metric,1,100R,C17901
R64,R_1206_3216Metric,1,100R,C17901
R63,R_1206_3216Metric,1,100R,C17901
D27,LED_RGB_5050-6,1,LED_BAGR,C409780
JP6,SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,1,SolderJumper_2_Bridged,
F1,Fuse_1206_3216Metric,1,Polyfuse,C976305
R62,R_1206_3216Metric,1,2K,C17944
D26,LED_0603_1608Metric,1,LED,C72041
C48,C_0805_2012Metric,1,100nF 100V,C28233
C44,C_0805_2012Metric,1,100nF 100V,C28233
D9,SOIC-4,1,D_Bridge_+-AA,C2488
Q2,SOT-23,1,MMBTA42,C2891816
C24,C_0603_1608Metric,1,30p,C1658
D10,D_SOD-123F,1,1N4007,C2892681
Y1,Crystal_SMD_5032-2Pin_5.0x3.2mm,1,8MHz,C115962
R46,R_1206_3216Metric,1,2k,C17944
JP4,PinHeader_1x02_P2.54mm_Vertical,1,SolderJumper_2_Open,
J16,TE_1-406525-1,1,1-406525-1,C385834
R14,R_1206_3216Metric,1,2K,C17944
C14,C_1206_3216Metric,1,100nF,C24497
R12,R_1206_3216Metric,1,300R,C17887
R16,R_1206_3216Metric,1,2K,C17944
C23,C_0402_1005Metric,1,100n,C1525
D1,D_SOD-123,1,DIODE,C2892681
R55,R_1206_3216Metric,1,10K,C17902
K1,Relay_SPST_Finder_32.21-x300,1,RM50-xx21,C89311
D8,LED_0603_1608Metric,1,LED,C2286
R2,R_1206_3216Metric,1,10K,C17902
J17,"PhoenixContact_MSTBA_2,5_2-G-5,08_1x02_P5.08mm_Horizontal",1, ,C505824
R23,R_1206_3216Metric,1,300R,C17887
R11,R_1206_3216Metric,1,300R,C17887
C29,C_0402_1005Metric,1,1u,C52923
R54,R_1206_3216Metric,1,10K,C17902
R58,R_1206_3216Metric,1,2K,C17944
D3,D_SOD-123,1,DIODE,C2892681
J8,"PhoenixContact_MSTBA_2,5_2-G-5,08_1x02_P5.08mm_Horizontal",1,Screw_Terminal_01x02,C505824
H4,MountingHole_3mm_Pad,1,MountingHole,
C10,CP_EIA-3216-10_Kemet-I,1, 10µF,C7171
R26,R_1206_3216Metric,1,100R,C17901
C46,C_0805_2012Metric,1,100nF 100V,C28233
C32,C_0402_1005Metric,1,100n,C1525
R47,R_1206_3216Metric,1,10k,C17902
L2,L_Sunlord_MWSA12xxS,1,100µH,C408533
R20,R_1206_3216Metric,1,100K,C17900
D5,LED_0603_1608Metric,1,LED,C2286
D17,LED_0603_1608Metric,1,LED_RED,C2286
R33,R_1206_3216Metric,1,100,C17901
D6,LED_0603_1608Metric,1,LED,C2286
D23,LED_0603_1608Metric,1,LED,C2290
U4,DIP-4_W7.62mm,1,EL817,
C17,C_1206_3216Metric,1,10nF,C1846
D15,LED_0603_1608Metric,1,LED,C2290
R49,R_1206_3216Metric,1,140,C17909
R41,R_1206_3216Metric,1,100k,C17900
U11,DIP-4_W7.62mm,1,EL817,
D18,LED_0603_1608Metric,1,LED_WIT,C72041
R37,R_1206_3216Metric,1,100R,C17901
R13,R_1206_3216Metric,1,2K,C17944
J3,"PhoenixContact_MSTBA_2,5_2-G-5,08_1x02_P5.08mm_Horizontal",1, ,C505824
D22,LED_0603_1608Metric,1,LED,C2290
U5,TO-263-5_TabPin3,1,LM2576HVS-3.3,C880735
R32,R_1206_3216Metric,1,100,C17901
D16,LED_0603_1608Metric,1,LED,C2290
U12,DIP-4_W7.62mm,1,EL817,
J6,"PhoenixContact_MSTBA_2,5_2-G-5,08_1x02_P5.08mm_Horizontal",1,Screw_Terminal_01x02,C505824
C47,C_1206_3216Metric,1,4u7,C29823
J2,"PhoenixContact_MSTBA_2,5_2-G-5,08_1x02_P5.08mm_Horizontal",1, ,C505824
R10,R_1206_3216Metric,1,300R,C17887
J11,"PhoenixContact_MSTBA_2,5_2-G-5,08_1x02_P5.08mm_Horizontal",1,Screw_Terminal_01x02,C505824
D13,LED_0603_1608Metric,1,LED,C2290
U8,ESP-01,1,ESP-01v090,
JP1,PinHeader_1x02_P2.54mm_Vertical,1,SolderJumper_2_Open,
L4,L_0402_1005Metric,1,90mohm,C76891
C43,CP_EIA-3216-10_Kemet-I,1,10µF,C7171
C1,C_1206_3216Metric,1,100nF,C24497
J1,"PhoenixContact_MSTBA_2,5_2-G-5,08_1x02_P5.08mm_Horizontal",1, ,C505824
R35,R_1206_3216Metric,1,100R,C17901
C7,CP_EIA-3216-10_Kemet-I,1,10µF,C7171
R6,R_1206_3216Metric,1,2K,C17944
R38,R_1206_3216Metric,1,100R,C17901
C5,C_0402_1005Metric,1,100n,C1525
C45,CP_EIA-3216-10_Kemet-I,1,10µF,C7171
C37,C_1206_3216Metric,1,100nf,C24497
C2,C_1206_3216Metric,1,100nF,C24497
R4,R_1206_3216Metric,1,10K,C17902
D21,LED_0603_1608Metric,1,LED,C72041
C18,C_1206_3216Metric,1,10nF,C1846
R51,R_1206_3216Metric,1,10K,C17902
FB1,L_0805_2012Metric,1,FerriteBead_Small,C1017
C25,C_0402_1005Metric,1,100n,C1525
Q3,SOT-23,1,MMBTA42,C2891816
J4,"PhoenixContact_MSTBA_2,5_2-G-5,08_1x02_P5.08mm_Horizontal",1, ,C505824
C15,C_1206_3216Metric,1,100nF,C24497
R21,R_1206_3216Metric,1,300R,C17887
C11,CP_EIA-3216-10_Kemet-I,1, 10µF,C7171
R52,R_1206_3216Metric,1,10K,C17902
C41,C_1206_3216Metric,1,100nf,C24497
C9,CP_EIA-3216-10_Kemet-I,1, 10µF,C7171
D7,LED_0603_1608Metric,1,LED,C2286
R27,R_1206_3216Metric,1,10k,C17902
J14,"PhoenixContact_MSTBA_2,5_2-G-5,08_1x02_P5.08mm_Horizontal",1,Screw_Terminal_01x02,C505824
C27,C_0402_1005Metric,1,100n,C1525
C40,C_1206_3216Metric,1,4u7,C29823
JP2,PinHeader_1x02_P2.54mm_Vertical,1,SolderJumper_2_Open,
J13,"PhoenixContact_MSTBA_2,5_2-G-5,08_1x02_P5.08mm_Horizontal",1,Screw_Terminal_01x02,C505824
R22,R_1206_3216Metric,1,300R,C17887
R5,R_1206_3216Metric,1,2K,C17944
J5,"PhoenixContact_MSTBA_2,5_2-G-5,08_1x02_P5.08mm_Horizontal",1,Screw_Terminal_01x02,C505824
H2,MountingHole_3mm_Pad,1,MountingHole,
J10,PinHeader_2x05_P1.27mm_Vertical_SMD,1,Conn_02x05_Odd_Even,C598540
R44,R_1206_3216Metric,1,2k,C17944
J9,"PhoenixContact_MSTBA_2,5_2-G-5,08_1x02_P5.08mm_Horizontal",1,Screw_Terminal_01x02,C505824
R34,R_1206_3216Metric,1,100,C17901
D11,D_SOD-123F,1,1N4007,C2892681
C22,C_0603_1608Metric,1,4u7,C19666
C38,C_1206_3216Metric,1,100nf,C24497
C42,CP_EIA-3216-10_Kemet-I,1,10uF 16V,C7171
C39,CP_EIA-3216-10_Kemet-I,1,4.7uf,C7171
C13,C_1206_3216Metric,1,100nF,C24497
C33,C_1206_3216Metric,1,10nF,C1846
D25,LED_0603_1608Metric,1,LED,C2290
R28,R_1206_3216Metric,1,10k,C17902
R15,R_1206_3216Metric,1,2K,C17944
R43,R_1206_3216Metric,1,2k,C17944
R7,R_1206_3216Metric,1,2K,C17944
R31,R_1206_3216Metric,1,100,C17901
C21,CP_Elec_5x5.4,1,100µF 10v,C2891567
C35,C_1206_3216Metric,1,100nf,C24497
Q1,SOT-23,1,MMBTA42,C2891816
R8,R_1206_3216Metric,1,2K,C17944
R9,R_1206_3216Metric,1,300R,C17887
C30,C_0402_1005Metric,1,100n,C1525
R40,R_1206_3216Metric,1,100k,C17900
C3,C_1206_3216Metric,1,100nF,C24497
U6,LQFP-64_10x10mm_P0.5mm,1,STM32F103RDTx,C8323
R36,R_1206_3216Metric,1,100R,C17901
R3,R_1206_3216Metric,1,10K,C17902
D24,LED_0603_1608Metric,1,LED,C2290
R17,R_1206_3216Metric,1,100K,C17900
C12,CP_EIA-3216-10_Kemet-I,1, 10µF,C7171
K4,Relay_SPST_Finder_32.21-x300,1,RM50-xx21,C89311
SW1,SW_PUSH_6mm,1,SW_MEC_5G,
R30,R_1206_3216Metric,1,10k,C17902
C19,CP_Elec_10x10,1,100µF 80V,C249838
C31,C_0402_1005Metric,1,100n,C1525
R48,R_1206_3216Metric,1,10k,C17902
C34,C_1206_3216Metric,1,10nF,C1846
R18,R_1206_3216Metric,1,100K,C17900
R42,R_1206_3216Metric,1,100k,C17900
R59,R_1206_3216Metric,1,2K,C17944
K2,Relay_SPST_Finder_32.21-x300,1,RM50-xx21,C89311
R29,R_1206_3216Metric,1,10k,C17902
K3,Relay_SPST_Finder_32.21-x300,1,RM50-xx21,C89311
J12,"PhoenixContact_MSTBA_2,5_2-G-5,08_1x02_P5.08mm_Horizontal",1,Screw_Terminal_01x02,C505824
R56,R_1206_3216Metric,1,120,C17909
C8,CP_EIA-3216-10_Kemet-I,1,10µF,C7171
J15,TE_1-406525-1,1,1-406525-1,C385834
D20,LED_0603_1608Metric,1,LED,C2286
C16,C_1206_3216Metric,1,100nF,C24497
D19,SOT-23-3,1,PSM712,C293967
U9,DIP-4_W7.62mm,1,EL817,
R24,R_1206_3216Metric,1,300R,C17887
R57,R_1206_3216Metric,1,100R,C17901
L3,L_0402_1005Metric,1,100µH,C18830
C6,C_0603_1608Metric,1,10uF,C57112
U2,DIP-4_W7.62mm,1,EL817,
C20,CP_Elec_10x10,1,100µF 80V,C249838
H3,MountingHole_3mm_Pad,1,MountingHole,
D4,D_SOD-123,1,DIODE,C2892681
J7,"PhoenixContact_MSTBA_2,5_2-G-5,08_1x02_P5.08mm_Horizontal",1,Screw_Terminal_01x02,C505824
U3,DIP-4_W7.62mm,1,EL817,
C26,C_0603_1608Metric,1,30p,C1658
R1,R_1206_3216Metric,1,10K,C17902
U7,SOIC-8_3.9x4.9mm_P1.27mm,1,SN75176AP,C7063
D2,D_SOD-123,1,DIODE,C2892681
R25,R_0402_1005Metric,1,10k,C25744
R45,R_1206_3216Metric,1,2k,C17944
H1,MountingHole_3mm_Pad,1,MountingHole,
R61,R_1206_3216Metric,1,2K,C17944
R39,R_1206_3216Metric,1,100k,C17900
U1,DIP-4_W7.62mm,1,EL817,
C4,C_1206_3216Metric,1,100nF,C24497
U10,DIP-4_W7.62mm,1,EL817,
Q4,SOT-23,1,MMBTA42,C2891816
R53,R_1206_3216Metric,1,10K,C17902
R50,R_1206_3216Metric,1,100R,C17901
C36,C_1206_3216Metric,1,100nf,C24497
D14,LED_0603_1608Metric,1,LED,C2290
R19,R_1206_3216Metric,1,100K,C17900
JP3,PinHeader_1x02_P2.54mm_Vertical,1,SolderJumper_2_Open,
C28,C_0402_1005Metric,1,100n,C1525
R60,R_1206_3216Metric,1,2K,C17944
