Designator,Mid X,Mid Y,Rotation,Layer
C50,146.352641,-58.654156,-90.0,top
C49,153.031205,-58.665298,-90.0,top
JP5,95.548357,-63.124471,180.0,top
D12,110.193407,-48.751987,-90.0,top
R65,199.31431,-131.399374,180.0,top
R64,199.325025,-133.752266,180.0,top
R63,199.330997,-136.088471,0.0,top
D27,205.853265,-133.749497,180.0,top
F1,98.552672,-61.909819,-90.0,top
R62,90.090935,-44.898194,-90.0,top
D26,90.141808,-40.945456,90.0,top
C48,175.885,-40.807052,-90.0,bottom
C44,158.723003,-40.768915,-90.0,bottom
D9,98.232652,-54.61,-90.0,top
Q2,119.585,-99.673333,0.0,top
C24,153.743803,-86.649906,90.0,top
D10,103.313005,-61.573536,180.0,top
Y1,154.881669,-91.406667,-90.0,top
R46,180.045,-131.423333,0.0,top
JP4,172.582344,-58.619863,0.0,top
J16,178.533489,-43.874132,180.0,top
R14,119.585,-95.863333,180.0,top
C14,193.337565,-88.267413,-90.0,top
R12,198.721751,-119.901992,90.0,top
R16,120.055,-123.803333,180.0,top
C23,179.07,-90.17,0.0,top
D1,116.095,-81.33,90.0,top
R55,167.64,-60.158255,90.0,top
K1,110.9725,-79.405833,180.0,top
D8,106.332811,-144.007865,-90.0,top
R2,196.092757,-93.522161,-90.0,top
J17,87.970135,-67.335699,-90.0,top
R23,140.375,-111.103333,-90.0,top
R11,196.210697,-103.495373,90.0,top
C29,161.449679,-95.149971,180.0,top
R54,183.970652,-60.102964,90.0,top
R58,109.912297,-139.745117,90.0,top
D3,115.575,-109.22,90.0,top
J8,203.215747,-125.004086,90.0,top
C10,198.693759,-93.525814,-90.0,top
R26,193.04,-139.7,90.0,top
C46,109.387139,-56.88,90.0,top
C32,166.37,-84.090618,90.0,top
R47,199.795053,-56.281965,0.0,top
L2,118.643624,-46.929285,90.0,top
R20,120.055,-121.263333,0.0,top
D5,97.670514,-144.046083,-90.0,top
D17,198.356337,-45.378668,-90.0,top
R33,169.903892,-121.183272,0.0,top
D6,100.374714,-144.022391,-90.0,top
D23,112.549663,-143.970142,-90.0,top
U4,135.285,-126.348333,180.0,top
C17,144.67778,-117.60268,-90.0,top
D15,165.637056,-112.288023,90.0,top
R49,198.468018,-51.393326,90.0,top
R41,170.095184,-128.883333,0.0,top
U11,163.23,-128.712162,90.0,top
D18,200.942721,-45.391409,-90.0,top
R37,165.683988,-117.215824,-90.0,top
R13,120.055,-81.893333,180.0,top
J3,87.948875,-108.519583,-90.0,top
D22,109.920521,-144.005942,-90.0,top
U5,100.053928,-45.048679,180.0,top
R32,155.758645,-117.56781,90.0,top
D16,168.593737,-112.241091,90.0,top
U12,179.265772,-128.888066,90.0,top
J6,203.249252,-92.283345,90.0,top
C47,103.408428,-64.118134,180.0,top
J2,87.938829,-94.468982,-90.0,top
R10,196.035949,-88.239009,90.0,top
J11,134.025,-135.265833,0.0,top
D13,160.005283,-112.334954,90.0,top
U8,192.064,-51.413333,0.0,top
JP1,165.1,-81.28,180.0,top
L4,161.425455,-94.053187,0.0,top
C43,172.227663,-83.783437,90.0,top
C1,198.545,-72.72,90.0,top
J1,87.87978,-80.586127,-90.0,top
R35,160.071111,-117.192358,-90.0,top
C7,156.197297,-80.182748,180.0,top
R6,100.423613,-139.690919,90.0,top
R38,168.576111,-117.186492,-90.0,top
C5,158.177216,-81.875931,0.0,top
C45,170.978747,-103.370564,-90.0,top
C37,170.095184,-131.423333,0.0,top
C2,198.795,-88.243333,90.0,top
R4,197.525,-123.803333,180.0,top
D21,195.58,-144.78,-90.0,top
C18,153.099197,-117.585791,-90.0,top
R51,185.242115,-74.39041,0.0,top
FB1,157.686715,-84.35882,-90.0,top
C25,173.99,-102.1,-90.0,top
Q3,120.126567,-114.052923,0.0,top
J4,87.909315,-122.501109,-90.0,top
C15,193.653453,-103.496285,-90.0,top
R21,140.375,-83.163333,-90.0,top
C11,198.830641,-108.479098,-90.0,top
R52,185.253085,-69.231382,0.0,top
C41,170.565885,-75.543333,-90.0,top
C9,198.656017,-77.810821,-90.0,top
D7,103.382391,-144.024132,-90.0,top
R27,142.073085,-117.548123,-90.0,top
J14,179.745,-135.265833,0.0,top
C27,167.64,-102.207836,-90.0,top
C40,190.042361,-63.875338,0.0,top
JP2,179.176755,-56.10028,-90.0,top
J13,164.505,-135.265833,0.0,top
R22,139.905,-97.133333,-90.0,top
R5,97.754379,-139.699999,90.0,top
J5,203.249252,-75.938906,90.0,top
J10,144.927647,-45.793823,90.0,top
R44,150.776747,-131.392045,0.0,top
J9,87.87978,-51.574826,-90.0,top
R34,183.085,-117.300957,90.0,top
D11,103.281198,-59.060746,180.0,top
C22,162.56,-85.865,90.0,top
C38,185.89,-131.423333,0.0,top
C42,170.559671,-70.463333,90.0,top
C39,190.176139,-66.436241,0.0,top
C13,193.040901,-72.76208,-90.0,top
C33,171.643792,-117.123333,90.0,top
D25,118.448228,-143.970142,-90.0,top
R28,150.564899,-117.585791,-90.0,top
R15,120.055,-109.833333,180.0,top
R43,135.391713,-131.310958,0.0,top
R7,103.382391,-139.726124,90.0,top
R31,147.376337,-117.60268,90.0,top
C21,139.000959,-55.824632,-90.0,top
C35,140.315591,-131.373964,0.0,top
Q1,120.055,-85.703333,0.0,top
R8,106.227176,-139.726124,90.0,top
R9,195.664124,-72.760444,90.0,top
C30,161.430487,-96.226384,180.0,top
R40,159.18464,-130.08771,90.0,top
C3,198.795,-103.483333,90.0,top
U6,170.18,-93.98,0.0,top
R36,162.915033,-117.192358,-90.0,top
R3,196.040273,-108.46608,-90.0,top
D24,115.478752,-143.961434,-90.0,top
R17,120.055,-79.353333,0.0,top
C12,197.525,-126.343333,180.0,top
K4,110.9725,-121.315833,180.0,top
SW1,135.33,-46.669773,180.0,top
R30,178.080919,-117.181658,-90.0,top
C19,116.84,-71.212762,0.0,top
C31,160.947288,-93.056145,180.0,top
R48,199.82372,-58.890645,0.0,top
C34,180.545,-117.197662,-90.0,top
R18,119.585,-93.323333,0.0,top
R42,185.945652,-128.484415,180.0,top
R59,112.563926,-139.739186,90.0,top
K2,110.9725,-93.375833,180.0,top
R29,174.27607,-117.136187,90.0,top
K3,110.9725,-107.345833,180.0,top
J12,149.265,-135.265833,0.0,top
R56,182.962833,-56.003908,0.0,top
C8,160.496516,-85.282413,90.0,top
J15,161.185922,-43.828969,180.0,top
D20,193.04,-144.78,-90.0,top
C16,196.046659,-119.866794,-90.0,top
D19,176.603372,-59.957051,-90.0,top
U9,143.845,-128.714177,90.0,top
R24,139.105,-125.073333,-90.0,top
R57,195.58,-139.7,90.0,top
L3,186.468564,-65.194012,-90.0,top
C6,158.574017,-87.773118,-90.0,top
U2,135.295,-98.403333,180.0,top
C20,116.84,-60.153809,0.0,top
D4,115.445,-123.083333,90.0,top
J7,203.249252,-108.803558,90.0,top
U3,135.285,-112.378333,180.0,top
C26,156.204011,-95.764045,0.0,top
R1,195.796677,-77.778491,-90.0,top
U7,176.410732,-73.66,180.0,top
D2,115.775,-95.233333,90.0,top
R25,168.505469,-85.965902,90.0,top
R45,163.937684,-131.423333,0.0,top
R61,118.447083,-139.713062,90.0,top
R39,145.285769,-131.345113,180.0,top
U1,135.285,-84.438333,180.0,top
C4,197.525,-128.883333,180.0,top
U10,153.07,-128.748617,90.0,top
Q4,120.055,-127.775833,0.0,top
R53,185.242115,-71.767413,0.0,top
R50,200.895,-51.513014,90.0,top
C36,155.54811,-131.423333,0.0,top
D14,162.938498,-112.311489,90.0,top
R19,120.055,-107.293333,0.0,top
JP3,181.062689,-61.376273,180.0,top
C28,161.514166,-90.17,180.0,top
R60,115.4768,-139.726124,90.0,top
